"Designator","Val","Package","Mid X","Mid Y","Rotation","Side"
"J1","Aux","IDC-Header_2x05_P2.54mm_Vertical",0.294034,-20.4369,180,"top"
"J2","Motors","IDC-Header_2x05_P2.54mm_Vertical",-2.265966,4.9231,180,"top"
"C3","100nF","C_0603_1608Metric",-0.79972,14.9031,180,"top"
"C5","100nF","C_0603_1608Metric",24.854034,-15.0969,90,"top"
"C18","100nF","C_0603_1608Metric",-3.969452,12.0031,90,"top"
"C20","100nF","C_0603_1608Metric",-5.49972,14.9031,0,"top"
"C24","100nF","C_0603_1608Metric",-1.69972,12.0031,90,"top"
"C34","2.2uF","C_0603_1608Metric",-8.09972,-5.1969,180,"top"
"C36","100nF","C_0603_1608Metric",17.40028,8.4031,-90,"top"
"C37","2.2uF","C_0603_1608Metric",-4.49972,-12.5969,0,"top"
"D1","BAT54","D_SOD-323",0.954034,6.2031,90,"top"
"D2","BAT54","D_SOD-323",-3.09972,2.3031,0,"top"
"D3","BAT54","D_SOD-323",-8.045966,1.8031,-90,"top"
"D4","BAT54","D_SOD-323",-11.145966,2.4031,180,"top"
"D5","RED LED","SMDLED-0603",23.454034,15.3031,-45,"top"
"D7","BLUE LED","SMDLED-0603",-10.89972,-13.7969,-90,"top"
"J3","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",16.75028,15.6481,180,"top"
"Q1","PMV31XN","SOT23GDS",1.08928,2.6191,180,"top"
"Q2","PMV31XN","SOT23GDS",-2.845966,-1.4969,180,"top"
"Q3","PMV31XN","SOT23GDS",-6.945966,-1.7969,180,"top"
"Q4","PMV31XN","SOT23GDS",-10.69972,-1.6969,90,"top"
"R1","10k","R_0402_1005Metric",1.154034,0.2031,0,"top"
"R2","10k","R_0402_1005Metric",-2.955966,-3.9969,0,"top"
"R3","10k","R_0402_1005Metric",-3.045966,-6.8069,-90,"top"
"R4","10k","R_0402_1005Metric",-12.59972,-4.6969,0,"top"
"R5","330R","R_0603_1608Metric",23.354034,11.3031,90,"top"
"R6","5k1","R_0603_1608Metric",20.40028,8.6031,-90,"top"
"R7","5k1","R_0603_1608Metric",11.80028,8.7031,-90,"top"
"R9","10k","R_0402_1005Metric",24.854034,-11.8969,-90,"top"
"R13","2.2k","R_0603_1608Metric",6.754034,3.5031,-90,"top"
"R14","2.2k","R_0603_1608Metric",11.354034,4.2031,180,"top"
"R17","100k","R_0603_1608Metric",-9.045966,-7.3969,0,"top"
"R22","1k","R_0603_1608Metric",-7.645966,-13.9969,0,"top"
"R39","100R","R_0402_1005Metric",1.154034,-1.9969,180,"top"
"R40","100R","R_0402_1005Metric",0.40028,-5.6969,180,"top"
"R41","100R","R_0402_1005Metric",0.40028,-6.8969,180,"top"
"R42","100R","R_0402_1005Metric",-12.345966,-7.7969,90,"top"
"U1","BMX160","LGA-14L_2.5x3mm__LSM6DS3",-6.969452,11.5031,90,"top"
"U2","BMP388","ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y",1.10028,12.1031,0,"top"
"U6","NUF2221","SOT363",15.10028,8.5031,90,"top"
"U9","TPS79301","SOT23_6",-6.244646,-9.00176,180,"top"
"U11","ESP32-WROOM","ESP32-WROOM-32_new",13.674034,-13.2969,180,"top"
