"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;",,,,,";"Fiducial_0.75mm_Dia_1.5mm_Outer";6;"Fiducial_0.75mm_Dia_1.5mm_Outer";;;
2;"R42";"0603_new_new";1;"100R";;;
3;"U9,U7";"SOT23_6";2;"TPS79301";;;
4;"U5";"MS5611";1;"MS5611-01BA03";;;
5;"C24,C33,C20,C18,C41,C38,C36";"SM0603_Capa";7;"100nF";;;
6;"R38,R22";"SM0603";2;"1k";;;
7;"R37,R36,R33,R25,R32,R1,R2,R3,R4,R27";"SM0603";10;"10k";;;
8;"Q6,Q5";"SOT23GDS";2;"2N7002";;;
9;"P9";"PINHEADER_127_1X1";1;"CONN_1";;;
10;"P2,P4,P1,P3";"PINHEADER_127_2X1";4;"CONN_2";;;
11;"D6";"SMDLED-0603";1;"GREEN LED";;;
12;"D5";"SMDLED-0603";1;"RED LED";;;
13;"D4,D3,D2,D1";"sod323";4;"BAT54";;;
14;"R31";"SM0603";1;"100k";;;
15;"R30";"SM0603";1;"20k";;;
16;"R29,R19";"SM0603";2;"0R";;;
17;"R5";"SM0603";1;"330R";;;
18;"R6";"SM0603";1;"220R";;;
19;"R28,R18";"SM0603";2;"30k";;;
20;"R26";"SM0603";1;"1.2K";;;
21;"R24";"SM0603";1;"1.2k";;;
22;"R23";"SM0603";1;"150k";;;
23;"R21";"SM0603";1;"300k";;;
24;"R20";"SM0603";1;"42.2k";;;
25;"R13,R14";"SM0603";2;"2.2k";;;
26;"R16";"SM0603";1;"39k";;;
27;"R17";"SM0603";1;"10R";;;
28;"C4,C37,C34,C31,C30";"SM0603_Capa";5;"4.7uF";;;
29;"C40,C32";"SM0603_Capa";2;"10nF";;;
30;"C39";"SM0603_Capa";1;"10uF";;;
31;"C35,C29";"SM0603_Capa";2;"15pF";;;
32;"U10";"SOT23_6";1;"MAX16054";;;
33;"Q4,Q3,Q2,Q1";"SOT23GDS";4;"PMV31XN";;;
34;"U8";"QFN16";1;"BQ24075";;;
35;"U6";"SOT363";1;"NUF2221";;;
36;"D7,D8";"SMDLED-0603";2;"BLUE LED";;;
37;"BT1";"JST-B2B-ZR";1;"BATTERY";;;
38;"SW1";"SPST-NO-4x2.5";1;"PUSH ON/OFF";;;
39;"P7";"ZX62-B-5PA_11_CFK";1;"MICRO-B-USB";;;
40;"R39,R40,R41";"SM0402";3;"100R";;;
41;"U11";"ESP32-WROOM-32_new";1;"ESP32-WROOM";;;
42;"SW2";"Switch_Tactile_SMD_B3U-1000P_new_new";1;"BOOT";;;
43;"U12";"QFN-24-1EP_4x4mm_new_new_new";1;"CP2102N-A01-GQFN24";;;
44;"C1";"0603_new_new";1;"22uF";;;
45;"C2,C3,C5";"0603_new_new";3;"100nF";;;
46;"R7";"0603_new_new";1;"1k";;;
47;"R8,R9,R10";"0603_new_new";3;"10k";;;
48;"Q7,Q8";"SOT-23-3";2;"SS8050-G";;;
49;"U1";"LGA-14L_2.5x3mm__LSM6DS3";1;"BMX160";;;
