Designator,Mid X,Mid Y,Rotation,layer
C3,-11.56716,5.22582,90,bottom
C4,-10.287,5.2705,90,bottom
C29,12.99972,12.0015,180,bottom
C30,12.99972,13.5001,0,bottom
C31,9.9949,9.00176,180,bottom
C32,7.00024,11.00074,180,bottom
C35,11.50112,-12.49934,0,bottom
C36,-11.19886,7.80034,0,bottom
C37,9.4996,-13.00226,270,bottom
C38,12.49934,-6.00202,180,bottom
C39,10.89914,1.8034,90,bottom
C40,13.8303,-12.99972,270,bottom
C41,8.6995,-2.19964,270,bottom
D1,5.4991,-5.00126,180,bottom
D2,5.4991,-8.001,180,bottom
D3,5.4991,-11.00074,180,bottom
D4,5.4991,-14.00048,180,bottom
D8,15.49908,-15.49908,225,bottom
P7,-10.50036,14.80058,0,bottom
Q5,12.90066,-1.6002,0,bottom
Q6,12.10056,6.49986,270,bottom
R16,12.99972,10.50036,0,bottom
R17,9.19988,7.50062,180,bottom
R18,7.00024,12.49934,0,bottom
R19,7.50062,8.99922,0,bottom
R20,9.4996,-10.5029,270,bottom
R21,8.001,-8.001,270,bottom
R23,9.4996,-8.001,90,bottom
R28,7.99846,-10.5029,90,bottom
R29,9.99998,-6.00202,0,bottom
R30,10.59942,-0.19812,180,bottom
R32,10.09904,-2.19964,90,bottom
R33,13.40104,8.39978,270,bottom
R38,15.30096,-12.99972,90,bottom
U6,-8.6995,8.6995,90,bottom
U7,9.9949,12.0015,180,bottom
U9,11.99896,-9.00176,0,bottom
