Designator,Mid X,Mid Y,Rotation,Layer
C1,-13.19276,-17.79674,270,top
C2,-14.31544,-17.81706,270,top
C5,-16.86052,-8.92406,270,top
C18,3.00028,10.5031,90,top
C20,-0.09906,13.0031,180,top
C24,-6.20014,8.90016,270,top
C33,4.59994,1.39954,180,top
C34,12.99972,-9.4996,90,top
D5,-15.40002,15.49908,45,top
D6,15.40002,15.40002,135,top
D7,15.49908,-15.49908,225,top
Q1,9.00176,-2.49936,270,top
Q2,9.00176,-5.99948,270,top
Q3,9.00176,-9.4996,270,top
Q4,9.00176,-12.99972,270,top
Q7,-14.11732,-12.86666,270,top
Q8,-6.29416,-2.72386,270,top
R1,11.50112,-2.49936,90,top
R2,11.50112,-5.99948,90,top
R3,11.50112,-9.4996,90,top
R4,11.50112,-12.99972,90,top
R5,-13.79982,13.09878,0,top
R6,12.10056,15.19936,0,top
R7,-13.654,10.28954,0,top
R8,-13.11148,-2.42674,90,top
R9,-18.1102,-8.9281,270,top
R10,-6.21688,-0.08382,0,top
R13,-9.99998,14.59992,270,top
R14,-8.49884,14.59992,270,top
R22,14.89964,-12.49934,180,top
R24,4.89966,-1.00076,90,top
R25,6.4008,-1.00076,90,top
R26,11.99896,-0.50038,180,top
R27,12.99972,-2.49936,90,top
R31,9.99998,5.4991,270,top
R36,4.59994,2.90068,0,top
R37,5.6007,5.40004,0,top
R39,2.4003,-2.74574,270,top
R40,1.50114,-2.74574,270,top
R41,0.59944,-2.74574,270,top
R42,-1.56972,-6.9469,270,top
SW1,15.1003,11.50112,72,top
SW2,-2.83972,-15.8369,270,top
U1,0.00028,10.0031,90,top
U5,-9.19988,10.09904,0,top
U8,8.99922,1.99898,180,top
U10,12.7,6.79958,270,top
