"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","470nF","0603",127.6,-80.4,180,"top"
"C3","100nF","0603",124.46,-97.79,90,"top"
"C6","100nF","0603",113.03,-95.25,-90,"top"
"C7","10uF","0603",111.76,-90.17,0,"top"
"C8","10nF","0603",130,-81.2,-90,"top"
"C12","10uF","0603",119.38,-97.79,180,"top"
"C16","100nF","0603",130.81,-88.9,-90,"top"
"C17","10nF","0603",115.57,-78.74,-90,"top"
"C19","10uF","CP_Elec_6.3x5.8",112.587,-69.27238,-90,"top"
"C20","10uF","CP_Elec_6.3x5.8",120.461,-69.32318,-90,"top"
"J2","GPIOs","IDC-Header_2x04_P2.54mm_Horizontal",142.01168,-80.9939,0,"top"
"J3","SPI","2x3_SPI_header",125.01168,-72.9939,-90,"top"
"J4","Motor","PinHeader_1x4_P2.5mm_Drill1.1mm",104.14,-87.63,90,"top"
"J5","Motor","PinHeader_1x4_P2.5mm_Drill1.1mm",116.92,-105.41,0,"top"
"J6","Power","2x3_SPI_header",102.01168,-95.9939,0,"top"
"R5","100m","0603",110.49,-77.47,180,"top"
"R6","100m","0603",132.08,-86.36,0,"top"
"R7","10R","0603",130.81,-83.82,90,"top"
"R8","10R","0603",113.03,-80.01,0,"top"
"U1","TMC2660","PQFP-44_10x10mm_Pitch0.8mm",121.92,-88.9,90,"top"
