"Designator","Footprint","Quantity","Value","LCSC Part #"
"C10, C11, C15, C18, C19, C22, C32, C35","SMD0402",8,"0.1uF",
"C13, C26, C39","SMD0402",3,"1uF",
"C16, C17, C2, C20, C25, C3, C36, C6, C7, C8","SMD0402",10,"10uF",
"C31, DNP1","SMD0402",2,"15pF",
"C33, C37, C38, C4","SMD0402",4,"12pF",
"C40","SMD0402",1,"10nF",
"D1, D2, D3","SMD0603",3,"LED",
"D4","D_SMA",1,"SS14",
"J1","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",1,"USB_C_Receptacle_USB2.0_14P",
"J3","PinHeader_1x18_P2.54mm_Vertical",2,"Conn_01x18_Pin",
"L3","SMD0402",1,"2nH",
"L6","SMD0402",1,"4.7nH",
"Q1","SOT-23",1,"AO3401A",
"R1","SMD0402",1,"2K",
"R12, R19","SMD0402",2,"200K",
"R14, R17","SMD0402",2,"5.1K",
"R15","SMD0402",1,"1K",
"R16, R24, R25","SMD0402",3,"470R",
"R18, R2","SMD0402",2,"33R",
"R20","SMD0402",1,"100K",
"R21, R22, R4","SMD0402",3,"10K",
"R23, R26, R27, R28, R29, R30","SMD0402",6,"0R",
"U1","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",1,"ESP32-S3",
"U2","SOIC-8_5.3x5.3mm_P1.27mm",1,"W25Q128JVS",
"U3","SOT-23-5",1,"MCP73831-2-OT",
"U4","SOT-223-3_TabPin2",1,"BNO055",
"Y1,Y3","Crystal_SMD_3215-2Pin_3.2x1.5mm",1,"32.768 kHz",
"Y2","Crystal_SMD_2520-4Pin_2.5x2.0mm",1,"40MHz(10ppm)",
"U5",,1,"BMP280",
"U7",,1,"RT9080-33GJ5",
"D5,D6,D7,D8",,4,,
