Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","C_0402_1005Metric",107.600000,-101.550000,-90.000000,bottom
"C2","10uF","C_0402_1005Metric",111.469100,-86.710800,-90.000000,bottom
"C5","12pF","C_0402_1005Metric",109.200000,-103.050000,-135.000000,bottom
"C6","10uF","C_0402_1005Metric",116.696600,-79.463300,90.000000,bottom
"C8","10uF","C_0402_1005Metric",112.831600,-84.263300,-90.000000,bottom
"C9","C","C_0603_1608Metric",110.491600,-92.168740,90.000000,bottom
"C16","10uF","C_0402_1005Metric",115.496600,-79.473300,90.000000,bottom
"C22","0.1uF","C_0402_1005Metric",121.896600,-79.463300,90.000000,bottom
"C36","10uF","C_0402_1005Metric",105.596600,-86.213300,180.000000,bottom
"D1","LED","LED_0603_1608Metric",105.164100,-84.303300,0.000000,bottom
"D4","SS14","D_SMA",119.306600,-82.123300,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",105.100000,-75.840000,0.000000,bottom
"Q1","AO3401A","SOT-23",115.359100,-83.773300,180.000000,bottom
"R1","2K","R_0402_1005Metric",108.756600,-82.783300,180.000000,bottom
"R2","33R","R_0402_1005Metric",101.750000,-84.340000,90.000000,bottom
"R6","10k","R_0402_1005Metric",115.541600,-96.418740,0.000000,bottom
"R7","10k","R_0402_1005Metric",112.701600,-93.468740,180.000000,bottom
"R8","10k","R_0402_1005Metric",108.491600,-93.168740,90.000000,bottom
"R9","10k","R_0402_1005Metric",107.291600,-95.568740,90.000000,bottom
"R12","200K","R_0402_1005Metric",114.331600,-86.203300,0.000000,bottom
"R14","5.1K","R_0402_1005Metric",103.000000,-81.400000,0.000000,bottom
"R15","1K","R_0402_1005Metric",111.449100,-83.750800,90.000000,bottom
"R17","5.1K","R_0402_1005Metric",107.640000,-81.400000,180.000000,bottom
"R18","33R","R_0402_1005Metric",102.850000,-84.350000,90.000000,bottom
"R19","200K","R_0402_1005Metric",116.361600,-86.213300,0.000000,bottom
"R20","100K","R_0402_1005Metric",115.731600,-81.273300,0.000000,bottom
"R27","0R","R_0402_1005Metric",103.889376,-97.860624,-135.000000,bottom
"U3","MCP73831-2-OT","SOT-23-5",108.796600,-85.270800,180.000000,bottom
"U4","BNO055","LGA-28_5.2x3.8mm_P0.5mm",111.191600,-96.841240,0.000000,bottom
"Y3","32.768 kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",110.191600,-100.768740,180.000000,bottom
